trial 	#th 	67108864 	134217728 	268435456 	536870912 	1073741824 	2147483616 
1	1	2.715532	5.423812	10.749069	21.496134	43.030466	86.005690	
2	1	2.681816	5.374785	10.752200	21.500818	43.227655	86.071559	
3	1	2.685412	5.369288	10.736173	21.478079	42.971097	90.197595	
4	1	2.686124	5.364339	10.742559	21.535637	42.945324	85.920476	
5	1	2.685245	5.368201	10.740111	21.495838	43.007914	87.674645	

1	2	1.442975	2.779419	5.591095	10.795540	21.594762	43.376617	
2	2	1.444301	2.774040	5.422089	10.825982	21.717392	43.362746	
3	2	1.421131	2.798368	5.432368	10.794712	21.604448	43.415074	
4	2	1.449368	2.791715	5.438717	10.890254	21.573166	43.229159	
5	2	1.426430	2.774235	5.431084	10.794826	21.751134	43.175856	

1	4	0.814034	1.503457	3.005928	5.852866	11.571560	22.956640	
2	4	0.798283	1.493824	3.067563	5.756036	11.616208	22.978813	
3	4	0.800680	1.498478	2.920337	5.882091	11.517414	22.998193	
4	4	0.808524	1.459339	2.966446	5.740416	11.661420	22.974415	
5	4	0.779614	1.474615	2.880924	5.866418	11.757572	23.009031	

1	6	0.590192	1.130143	2.094640	3.969837	7.926560	16.313227	
2	6	0.578766	1.059086	2.148941	3.944533	7.963429	16.108668	
3	6	0.571995	1.011736	2.032302	4.376267	7.978180	15.657210	
4	6	0.570032	1.049210	2.018980	3.977055	7.807979	15.720151	
5	6	0.630454	1.090711	2.176542	3.945290	7.870530	15.764936	

1	8	0.495851	0.916942	1.809157	3.531265	6.827436	13.566720	
2	8	0.489763	0.918523	1.810754	3.524352	6.822156	13.496882	
3	8	0.492155	0.917833	1.748117	3.473968	6.838525	13.558636	
4	8	0.489079	0.917639	1.817609	3.491204	6.824996	13.508895	
5	8	0.487875	0.918473	1.826271	3.518261	6.844255	13.507086	

1	12	0.354973	0.648882	1.216772	2.363291	4.664885	9.246752	
2	12	0.354977	0.646143	1.215970	2.362941	4.658203	9.244145	
3	12	0.361083	0.639430	1.221962	2.364100	4.657769	9.252404	
4	12	0.354730	0.639699	1.216115	2.362949	4.658406	9.247780	
5	12	0.359734	0.641923	1.215202	2.363198	4.653010	9.247644	

1	16	0.289955	0.504723	0.928889	1.794463	3.512413	6.956490	
2	16	0.283774	0.496797	0.932987	1.789434	3.512923	6.954110	
3	16	0.290209	0.498621	0.928192	1.791033	3.512834	6.973143	
4	16	0.283542	0.490110	0.930814	1.789496	3.518063	6.954595	
5	16	0.289401	0.499383	0.927081	1.791140	3.519660	6.957478	

