trial 	#th	8388608 	16777216 	33664432 	67108864 	268435456 
1	1	0.351357	0.557527	1.299306	2.590187	10.230030	
2	1	0.312798	0.636013	1.301843	2.489877	10.665732	
3	1	0.354894	0.707335	1.438330	2.738934	11.086377	
4	1	0.347889	0.699358	1.458615	2.664945	9.635193	
5	1	0.336404	0.686809	1.237824	2.396002	9.011015	

1	2	0.215949	0.321240	0.730817	1.502140	5.457936	
2	2	0.235637	0.315899	0.632710	1.243425	4.965879	
3	2	0.157682	0.338238	0.658678	1.244261	4.956435	
4	2	0.187765	0.440101	0.714555	1.402218	5.537458	
5	2	0.212537	0.453335	0.851246	1.456202	6.266274	

1	4	0.128530	0.251156	0.459026	0.945746	3.722116	
2	4	0.167037	0.285127	0.538169	0.967693	3.674574	
3	4	0.126925	0.256794	0.474778	0.984841	3.737213	
4	4	0.148679	0.229770	0.507541	0.954254	3.496362	
5	4	0.187444	0.229780	0.465177	0.901262	3.717266	

1	6	0.145930	0.216209	0.357015	0.638100	2.605806	
2	6	0.152255	0.200967	0.361232	0.639139	2.545572	
3	6	0.151847	0.215962	0.337607	0.635327	2.644383	
4	6	0.145787	0.218616	0.343966	0.682382	2.683340	
5	6	0.102433	0.177017	0.338354	0.669578	2.721850	

1	8	0.085379	0.151059	0.252913	0.527667	1.897988	
2	8	0.070331	0.132201	0.252053	0.497116	1.965595	
3	8	0.066824	0.130288	0.255631	0.477918	1.964864	
4	8	0.110657	0.136866	0.254046	0.500607	2.006439	
5	8	0.064201	0.133112	0.251163	0.473252	2.006127	

1	12	0.081254	0.124889	0.194636	0.346302	1.263413	
2	12	0.089026	0.106089	0.162405	0.333490	1.327028	
3	12	0.064054	0.093342	0.175164	0.328556	1.264836	
4	12	0.090210	0.121589	0.190230	0.348230	1.418987	
5	12	0.090822	0.145835	0.200436	0.368875	1.287508	

1	16	0.062051	0.076976	0.128925	0.263440	1.010233	
2	16	0.074005	0.082107	0.170002	0.269784	0.988152	
3	16	0.069218	0.090997	0.143701	0.268675	1.039824	
4	16	0.070219	0.087072	0.183261	0.279615	1.042380	
5	16	0.068300	0.067154	0.147269	0.252128	1.085271	

