trial 	#th 	1000 	1400 	2000 	2800 	4000 
1	1	2.658852	6.052668	16.563168	48.331082	130.109078	
2	1	2.244338	6.217602	17.156355	44.689888	127.788404	
3	1	2.375391	6.018551	16.419001	44.795831	129.385192	
4	1	2.167562	5.863428	16.630221	46.443448	130.462213	
5	1	2.219299	6.056696	16.846790	45.876087	130.681305	

1	2	1.175523	2.982339	8.718736	23.504160	67.736902	
2	2	1.136706	2.907235	8.570137	23.539017	67.830714	
3	2	1.062562	2.968864	8.848164	23.266023	67.497280	
4	2	1.093727	2.894728	8.570101	23.407023	68.096708	
5	2	1.131528	3.046124	8.583517	23.435063	67.621932	

1	4	0.613355	1.502529	4.261018	11.781977	34.964177	
2	4	0.622304	1.497413	4.345798	11.847613	34.548700	
3	4	0.542763	1.550960	4.514443	12.175821	34.638591	
4	4	0.639808	1.629376	4.581449	12.157861	35.591533	
5	4	0.635817	1.521127	4.355592	12.138869	35.230253	

1	6	0.457959	1.097276	3.092614	8.700493	26.767832	
2	6	0.492299	1.119239	3.108074	8.550587	26.873491	
3	6	0.514282	1.124456	3.056188	8.679046	26.869142	
4	6	0.472036	1.087474	3.099326	8.382182	24.865504	
5	6	0.398591	1.092841	3.136609	8.470772	26.857018	

1	8	0.393892	0.929825	2.587780	7.030767	20.842625	
2	8	0.393184	0.911738	2.570327	7.025624	20.652231	
3	8	0.385490	0.911426	2.550527	7.018410	20.479538	
4	8	0.392258	0.921568	2.561095	7.147105	20.758681	
5	8	0.392851	0.931033	2.553434	7.021583	20.565556	

1	12	0.387636	0.650258	1.748512	4.747421	14.418176	
2	12	0.282316	0.635325	1.747245	4.733925	13.694564	
3	12	0.425213	0.656726	1.737382	4.737002	13.632449	
4	12	0.281706	0.637368	1.742015	4.722194	13.746786	
5	12	0.285287	0.627351	1.741547	4.724864	13.753007	

1	16	0.367854	0.898993	2.587322	6.972634	19.912475	
2	16	0.363398	0.904054	2.563137	6.946561	19.993189	
3	16	0.351597	0.916666	2.561081	6.922190	20.009201	
4	16	0.347667	0.893690	2.590167	6.981431	20.057636	
5	16	0.363286	0.921906	2.565540	6.982008	19.966607	

