trial 	#th 	1000 	1400 	2000 	2800 	4000 
1	1	8.743026	25.899854	82.845578	255.879300	719.841224	
2	1	12.499472	34.019095	100.086617	193.807456	462.041842	
3	1	8.211020	22.583516	65.832766	180.640377	427.422003	
4	1	6.479201	16.419756	47.277067	131.929050	442.245982	
5	1	7.577115	19.306991	55.052461	151.792599	485.047807	

1	2	6.160295	15.362017	41.924396	118.623402	342.895937	
2	2	5.333617	14.886484	44.245799	115.603709	332.749367	
3	2	5.400237	16.876146	46.011244	121.212647	246.136364	
4	2	3.451944	9.306700	27.000455	73.807846	191.399160	
5	2	2.999827	7.967167	23.514239	72.468184	214.975449	

1	4	1.892840	4.966118	13.949467	38.641774	112.642295	
2	4	2.023166	5.053232	13.877486	37.881080	110.115206	
3	4	1.894689	4.904644	14.256425	40.207854	111.661804	
4	4	1.972558	4.994076	13.596477	37.794549	113.176616	
5	4	2.030637	4.983334	13.895429	38.890124	111.345399	

1	6	1.264856	3.683878	9.984807	27.564528	73.445930	
2	6	1.490715	3.485822	10.230262	27.213572	75.515421	
3	6	1.199765	3.184621	9.050135	24.721932	71.997460	
4	6	1.203232	3.198223	9.151683	24.985748	71.860406	
5	6	1.206294	3.195830	9.135478	24.852085	71.874862	

1	8	0.920111	2.400450	6.822329	18.865095	54.326745	
2	8	0.921481	2.790868	6.845487	18.773941	54.708019	
3	8	0.916379	2.417723	6.832790	18.702950	106.025418	
4	8	1.732472	4.408150	13.651728	38.041114	110.490162	
5	8	1.732579	4.558862	13.501376	37.030118	108.878802	

1	12	1.190850	3.315105	9.533706	26.112802	76.318652	
2	12	1.215737	3.304806	9.444745	25.974896	75.620783	
3	12	1.198181	3.273055	9.498602	25.906656	75.414889	
4	12	1.183197	3.292154	9.443708	25.828668	75.233571	
5	12	1.218835	3.318725	9.482849	25.834462	75.281029	

1	16	0.953785	2.505917	7.227243	19.680034	57.700730	
2	16	0.943367	2.500626	7.264808	19.872176	57.480518	
3	16	0.906450	2.552099	7.235192	19.901645	57.029778	
4	16	0.900725	2.500255	7.187206	19.643977	57.635486	
5	16	0.974606	2.566047	7.369669	20.065046	58.034956	

