Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State,Listing Price (USD),Year
Lagoon,380,38,Caribbean,Martinique,"$204,921",2005
Lagoon,380,38,Caribbean,Guadeloupe,"$200,071",2005
Lagoon,380,38,USA,Florida,"$219,000",2005
Fountaine Pajot,Lavezzi 40,39,Caribbean,Mexico,"$210,000",2005
Leopard,40,39,Caribbean,Panama,"$200,000",2005
Nautitech,40,39.5,Europe,Croatia,"$188,252",2005
Nautitech,40,39.5,Europe,Croatia,"$188,131",2005
Lagoon,410,40.5,Caribbean,Grenada,"$225,000",2005
Lagoon,410-S2,40.5,Europe,Spain,"$303,395",2005
Lagoon,410-S2,40.5,Europe,Turkey,"$231,042",2005
Lagoon,410,40.5,USA,Florida,"$235,000",2005
Broadblue,415,42,Caribbean,Grenada,"$330,000",2005
Manta,42 MK II,42,USA,Florida,"$269,500",2005
Manta,42 MK II,42,USA,Florida,"$249,900",2005
Manta,42 MK II,42,USA,Florida,"$249,900",2005
Knysna,440,44,Caribbean,Grenada,"$230,000",2005
Lagoon,440,44.6,Caribbean,Martinique,"$349,833",2005
Lagoon,440,44.6,Caribbean,Martinique,"$349,560",2005
Lagoon,440,44.6,USA,Georgia,"$379,000",2005
Lagoon,440,44.6,USA,Florida,"$320,000",2005
Lagoon,440,44.6,USA,Florida,"$320,000",2005
Fountaine Pajot,Bahia 46,46,Caribbean,Martinique,"$255,179",2005
Fountaine Pajot,Bahia 46,46,Caribbean,Martinique,"$254,636",2005
Fountaine Pajot,Bahia 46,46,USA,Florida,"$229,000",2005
Nautitech,47,47,Caribbean,Dominican Republic,"$266,761",2005
Leopard,47,47,Caribbean,U.S. Virgin Islands,"$235,000",2005
Fountaine Pajot,Athena 38,38,Europe,Croatia,"$163,694",2006
Fountaine Pajot,Athena 38,38,Europe,Croatia,"$146,864",2006
Fountaine Pajot,Athena 38,38,Europe,Croatia,"$146,719",2006
Fountaine Pajot,Athena 38,38,Europe,Croatia,"$140,188",2006
Fountaine Pajot,Athena 38,38,Europe,Croatia,"$133,138",2006
Broadblue,385,38.7,Europe,Spain,"$223,109",2006
Broadblue,385,38.7,Europe,United Kingdom,"$220,542",2006
Broadblue,385,38.7,Europe,Spain,"$220,475",2006
Broadblue,385,38.7,Europe,United Kingdom,"$219,923",2006
Broadblue,385,38.7,Europe,Spain,"$219,766",2006
Fountaine Pajot,Lavezzi 40,39,Europe,Greece,"$200,642",2006
Fountaine Pajot,Lavezzi 40,39,Europe,Italy,"$188,482",2006
Leopard,40,39,USA,Washington,"$239,000",2006
Fountaine Pajot,Lavezzi 40,39,USA,Texas,"$219,000",2006
Leopard,40,39,USA,Florida,"$215,500",2006
Nautitech,40,39.5,Europe,Greece,"$217,401",2006
Nautitech,40,39.5,Europe,Greece,"$217,047",2006
Nautitech,40,39.5,Europe,Italy,"$206,722",2006
Nautitech,40,39.5,Europe,Greece,"$206,551",2006
Nautitech,40,39.5,Europe,Greece,"$206,337",2006
Nautitech,40,39.5,Europe,Greece,"$192,796",2006
Nautitech,40,39.5,Europe,Greece,"$191,772",2006
Nautitech,402,40,USA,Florida,"$199,990",2006
Lagoon,410-S2,40.6,Europe,Spain,"$302,787",2006
Lagoon,420,41,Europe,Italy,"$358,698",2006
Maine Cat,41,41.6,USA,New York,"$349,000",2006
Manta,42 MK II,42,USA,Florida,"$269,900",2006
Leopard,43,42.5,Europe,Italy,"$206,708",2006
Fountaine Pajot,Belize 43,42.65,USA,Florida,"$275,000",2006
Privilege,435,43,Caribbean,Guatemala,"$345,100",2006
Privilege,435,43,Caribbean,Guatemala,"$344,705",2006
Privilege,435,43,Caribbean,Mexico,"$344,705",2006
Privilege,435,43,Caribbean,Mexico,"$315,000",2006
Broadblue,435,43.6,Europe,Greece,"$267,617",2006
Lagoon,440,44.6,Europe,Greece,"$325,285",2006
Lagoon,440,44.6,Europe,Greece,"$321,976",2006
Lagoon,440,44.6,Europe,Greece,"$321,644",2006
Lagoon,440,44.6,Europe,Italy,"$309,826",2006
Lagoon,440,44.6,Europe,Italy,"$309,506",2006
Lagoon,440,44.6,Europe,Italy,"$303,751",2006
Lagoon,440,44.6,Europe,Italy,"$303,437",2006
Lagoon,440,44.6,Europe,Croatia,"$267,301",2006
Lagoon,440,44.6,Europe,Croatia,"$267,025",2006
Lagoon,440,44.6,Europe,Croatia,"$267,025",2006
Lagoon,440,44.6,USA,Florida,"$349,000",2006
Fountaine Pajot,Bahia 46,46,Caribbean,Martinique,"$346,315",2006
Fountaine Pajot,Bahia 46,46,Caribbean,Martinique,"$345,577",2006
Fountaine Pajot,Pajot Bahia 46,46,Europe,Italy,"$242,939",2006
Fountaine Pajot,Bahia 46,46,Europe,Italy,"$242,510",2006
Catana,47 Ocean Class,47,Caribbean,Guatemala,"$516,769",2006
Leopard,47,47,Caribbean,Honduras,"$257,061",2006
Nautitech,47,47,Europe,Greece,"$498,026",2006
