Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State,Listing Price (USD),Year
Alubat,Ovni 395,41,Europe,France,"$267,233",2005
Bavaria,38 Cruiser,38,Europe,Croatia,"$75,178",2005
Bavaria,38 Cruiser,38,Europe,Croatia,"$66,825",2005
Bavaria,38 Cruiser,38,Europe,Croatia,"$54,661",2005
Bavaria,38 Cruiser,38,Europe,Croatia,"$53,447",2005
Bavaria,38 Cruiser,38,Europe,Greece,"$91,101",2005
Bavaria,39 Cruiser,39,Europe,Greece,"$66,748",2005
Bavaria,42 Match,41,Europe,Croatia,"$78,945",2005
Bavaria,42 Match,41,Europe,Croatia,"$58,297",2005
Bavaria,42 Cruiser,42,Europe,Croatia,"$112,906",2005
Bavaria,42 Cruiser,42,Europe,Italy,"$95,961",2005
Bavaria,42 Cruiser,42,Europe,Italy,"$94,746",2005
Bavaria,42 Cruiser,42,Europe,Italy,"$91,102",2005
Bavaria,Cruiser 46,46,Europe,Croatia,"$101,063",2005
Bavaria,Cruiser 46,46,Europe,Croatia,"$91,106",2005
Bavaria,Cruiser 46,46,Europe,Croatia,"$84,907",2005
Bavaria,Cruiser 46,46,Europe,Croatia,"$84,786",2005
Bavaria,Cruiser 46,46,Europe,Greece,"$133,651",2005
Bavaria,Cruiser 46,46,Europe,Greece,"$109,338",2005
Bavaria,Cruiser 46,46,Europe,Greece,"$105,705",2005
Bavaria,Cruiser 46,46,Europe,Greece,"$103,253",2005
Bavaria,Cruiser 46,46,Europe,Greece,"$96,933",2005
Bavaria,Cruiser 46,46,Europe,Italy,"$115,396",2005
Bavaria,Cruiser 46,46,Europe,Italy,"$103,249",2005
Bavaria,Cruiser 46,46,Europe,Netherlands,"$133,015",2005
Bavaria,Cruiser 46,46,Europe,Spain,"$145,769",2005
Bavaria,50 Cruiser,49,Europe,Croatia,"$103,249",2005
Bavaria,50 Cruiser,49,Europe,Greece,"$109,323",2005
Bavaria,50 Cruiser,49,Europe,Italy,"$151,843",2005
Bavaria,50 Cruiser,49,Europe,Italy,"$136,896",2005
Bavaria,49 Cruiser,50,Europe,Croatia,"$103,249",2005
Bavaria,49 Cruiser,50,Europe,Spain,"$145,744",2005
Beneteau,First 40.7,39,Europe,Croatia,"$157,889",2005
Beneteau,Cyclades 39.3,39,USA,Florida,"$72,900",2005
Beneteau,Cyclades 39.3,39,Europe,Greece,"$78,975",2005
Beneteau,First 40.7,39,USA,Illinois,"$124,500",2005
Beneteau,Cyclades 39.3,39,Europe,Italy,"$103,275",2005
Beneteau,Cyclades 39.3,39,Europe,Italy,"$82,620",2005
Beneteau,Cyclades 39.3,39,Caribbean,Mexico,"$99,000",2005
Beneteau,Cyclades 39.3,39,Europe,Portugal,"$101,427",2005
Beneteau,Cyclades 39.3,39,Europe,Spain,"$108,108",2005
Beneteau,Cyclades 39.3,39,Europe,Spain,"$103,249",2005
Beneteau,Cyclades 39.3,39,Europe,United Kingdom,"$95,860",2005
Beneteau,Oceanis 423,43,USA,Connecticut,"$139,995",2005
Beneteau,Cyclades 43.3,43,Europe,France,"$108,108",2005
Beneteau,Cyclades 43.3,43,Europe,France,"$106,519",2005
Beneteau,Cyclades 43.3,43,Europe,France,"$95,961",2005
Beneteau,Oceanis Clipper 423,43,Europe,Greece,"$103,921",2005
Beneteau,Oceanis Clipper 423,43,Europe,Italy,"$91,090",2005
Beneteau,Oceanis Clipper 423,43,Europe,Malta,"$127,526",2005
